zip,Zipcode name,City,State,County Name
36310,"ABBEVILLE, AL",ABBEVILLE,AL,HENRY
35005,"ADAMSVILLE, AL",ADAMSVILLE,AL,JEFFERSON
35540,"ADDISON, AL",ADDISON,AL,WINSTON
35006,"ADGER, AL",ADGER,AL,JEFFERSON
35441,"AKRON, AL",AKRON,AL,HALE
35007,"ALABASTER, AL",ALABASTER,AL,SHELBY
36720,"ALBERTA, AL",ALBERTA,AL,WILCOX
35950,"ALBERTVILLE, AL",ALBERTVILLE,AL,MARSHALL
35951,"ALBERTVILLE, AL",ALBERTVILLE,AL,MARSHALL
35010,"ALEXANDER CITY, AL",ALEXANDER CITY,AL,TALLAPOOSA
35011,"ALEXANDER CITY, AL",ALEXANDER CITY,AL,TALLAPOOSA
36250,"ALEXANDRIA, AL",ALEXANDRIA,AL,CALHOUN
35442,"ALICEVILLE, AL",ALICEVILLE,AL,PICKENS
35013,"ALLGOOD, AL",ALLGOOD,AL,BLOUNT
35014,"ALPINE, AL",ALPINE,AL,TALLADEGA
35015,"ALTON, AL",ALTON,AL,JEFFERSON
35952,"ALTOONA, AL",ALTOONA,AL,ETOWAH
36420,"ANDALUSIA, AL",ANDALUSIA,AL,COVINGTON
36421,"ANDALUSIA, AL",ANDALUSIA,AL,COVINGTON
35610,"ANDERSON, AL",ANDERSON,AL,LAUDERDALE
36201,"ANNISTON, AL",ANNISTON,AL,CALHOUN
36202,"ANNISTON, AL",ANNISTON,AL,CALHOUN
36204,"ANNISTON, AL",ANNISTON,AL,CALHOUN
36205,"ANNISTON, AL",ANNISTON,AL,CALHOUN
36206,"ANNISTON, AL",ANNISTON,AL,CALHOUN
36207,"ANNISTON, AL",ANNISTON,AL,CALHOUN
35016,"ARAB, AL",ARAB,AL,MARSHALL
35739,"ARDMORE, AL",ARDMORE,AL,LIMESTONE
36311,"ARITON, AL",ARITON,AL,DALE
35541,"ARLEY, AL",ARLEY,AL,WINSTON
36722,"ARLINGTON, AL",ARLINGTON,AL,WILCOX
36312,"ASHFORD, AL",ASHFORD,AL,HOUSTON
36251,"ASHLAND, AL",ASHLAND,AL,CLAY
35953,"ASHVILLE, AL",ASHVILLE,AL,SAINT CLAIR
35611,"ATHENS, AL",ATHENS,AL,LIMESTONE
35612,"ATHENS, AL",ATHENS,AL,LIMESTONE
35613,"ATHENS, AL",ATHENS,AL,LIMESTONE
35614,"ATHENS, AL",ATHENS,AL,LIMESTONE
36502,"ATMORE, AL",ATMORE,AL,ESCAMBIA
36503,"ATMORE, AL",ATMORE,AL,ESCAMBIA
36504,"ATMORE, AL",ATMORE,AL,ESCAMBIA
35954,"ATTALLA, AL",ATTALLA,AL,ETOWAH
36830,"AUBURN, AL",AUBURN,AL,LEE
36831,"AUBURN, AL",AUBURN,AL,LEE
36832,"AUBURN, AL",AUBURN,AL,LEE
36849,"AUBURN UNIVERSITY, AL",AUBURN UNIVERSITY,AL,LEE
36003,"AUTAUGAVILLE, AL",AUTAUGAVILLE,AL,AUTAUGA
36505,"AXIS, AL",AXIS,AL,MOBILE
35019,"BAILEYTON, AL",BAILEYTON,AL,CULLMAN
36005,"BANKS, AL",BANKS,AL,PIKE
35542,"BANKSTON, AL",BANKSTON,AL,FAYETTE
36507,"BAY MINETTE, AL",BAY MINETTE,AL,BALDWIN
36509,"BAYOU LA BATRE, AL",BAYOU LA BATRE,AL,MOBILE
35543,"BEAR CREEK, AL",BEAR CREEK,AL,MARION
36425,"BEATRICE, AL",BEATRICE,AL,MONROE
35544,"BEAVERTON, AL",BEAVERTON,AL,LAMAR
35545,"BELK, AL",BELK,AL,FAYETTE
36901,"BELLAMY, AL",BELLAMY,AL,SUMTER
35615,"BELLE MINA, AL",BELLE MINA,AL,LIMESTONE
36313,"BELLWOOD, AL",BELLWOOD,AL,GENEVA
35546,"BERRY, AL",BERRY,AL,FAYETTE
35020,"BESSEMER, AL",BESSEMER,AL,JEFFERSON
35021,"BESSEMER, AL",BESSEMER,AL,JEFFERSON
35022,"BESSEMER, AL",BESSEMER,AL,JEFFERSON
35023,"BESSEMER, AL",BESSEMER,AL,JEFFERSON
36006,"BILLINGSLEY, AL",BILLINGSLEY,AL,AUTAUGA
35201,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35202,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35203,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35204,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35205,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35206,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35207,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35208,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35209,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35210,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35211,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35212,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35213,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35214,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35215,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35216,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35217,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35218,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35219,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35220,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35221,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35222,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35223,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35224,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35226,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35228,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35229,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35231,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35232,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35233,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35234,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35235,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35236,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35237,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35243,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35244,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35246,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
35249,"BIRMINGHAM, AL",BIRMINGHAM,AL,JEFFERSON
