zip,Zipcode name,City,State,County Name
38601,"ABBEVILLE, MS",ABBEVILLE,MS,LAFAYETTE
39730,"ABERDEEN, MS",ABERDEEN,MS,MONROE
39735,"ACKERMAN, MS",ACKERMAN,MS,CHOCTAW
38820,"ALGOMA, MS",ALGOMA,MS,PONTOTOC
38720,"ALLIGATOR, MS",ALLIGATOR,MS,BOLIVAR
38821,"AMORY, MS",AMORY,MS,MONROE
38721,"ANGUILLA, MS",ANGUILLA,MS,SHARKEY
38722,"ARCOLA, MS",ARCOLA,MS,WASHINGTON
39736,"ARTESIA, MS",ARTESIA,MS,LOWNDES
38603,"ASHLAND, MS",ASHLAND,MS,BENTON
38723,"AVON, MS",AVON,MS,WASHINGTON
39320,"BAILEY, MS",BAILEY,MS,LAUDERDALE
38824,"BALDWYN, MS",BALDWYN,MS,LEE
38913,"BANNER, MS",BANNER,MS,CALHOUN
39421,"BASSFIELD, MS",BASSFIELD,MS,JEFFERSON DAVIS
38606,"BATESVILLE, MS",BATESVILLE,MS,PANOLA
39520,"BAY SAINT LOUIS, MS",BAY SAINT LOUIS,MS,HANCOCK
39521,"BAY SAINT LOUIS, MS",BAY SAINT LOUIS,MS,HANCOCK
39422,"BAY SPRINGS, MS",BAY SPRINGS,MS,JASPER
39423,"BEAUMONT, MS",BEAUMONT,MS,PERRY
38825,"BECKER, MS",BECKER,MS,MONROE
38826,"BELDEN, MS",BELDEN,MS,LEE
39737,"BELLEFONTAINE, MS",BELLEFONTAINE,MS,WEBSTER
38827,"BELMONT, MS",BELMONT,MS,TISHOMINGO
39038,"BELZONI, MS",BELZONI,MS,HUMPHREYS
38725,"BENOIT, MS",BENOIT,MS,BOLIVAR
39039,"BENTON, MS",BENTON,MS,YAZOO
39040,"BENTONIA, MS",BENTONIA,MS,YAZOO
38726,"BEULAH, MS",BEULAH,MS,BOLIVAR
38914,"BIG CREEK, MS",BIG CREEK,MS,CALHOUN
39530,"BILOXI, MS",BILOXI,MS,HARRISON
39531,"BILOXI, MS",BILOXI,MS,HARRISON
39532,"BILOXI, MS",BILOXI,MS,HARRISON
39533,"BILOXI, MS",BILOXI,MS,HARRISON
39534,"BILOXI, MS",BILOXI,MS,HARRISON
39535,"BILOXI, MS",BILOXI,MS,HARRISON
38610,"BLUE MOUNTAIN, MS",BLUE MOUNTAIN,MS,TIPPAH
38828,"BLUE SPRINGS, MS",BLUE SPRINGS,MS,UNION
39629,"BOGUE CHITTO, MS",BOGUE CHITTO,MS,LINCOLN
39041,"BOLTON, MS",BOLTON,MS,HINDS
38829,"BOONEVILLE, MS",BOONEVILLE,MS,PRENTISS
38730,"BOYLE, MS",BOYLE,MS,BOLIVAR
39042,"BRANDON, MS",BRANDON,MS,RANKIN
39043,"BRANDON, MS",BRANDON,MS,RANKIN
39047,"BRANDON, MS",BRANDON,MS,RANKIN
39044,"BRAXTON, MS",BRAXTON,MS,SIMPSON
39601,"BROOKHAVEN, MS",BROOKHAVEN,MS,LINCOLN
39602,"BROOKHAVEN, MS",BROOKHAVEN,MS,LINCOLN
39603,"BROOKHAVEN, MS",BROOKHAVEN,MS,LINCOLN
39425,"BROOKLYN, MS",BROOKLYN,MS,FORREST
39739,"BROOKSVILLE, MS",BROOKSVILLE,MS,NOXUBEE
38915,"BRUCE, MS",BRUCE,MS,CALHOUN
39322,"BUCKATUNNA, MS",BUCKATUNNA,MS,WAYNE
39630,"BUDE, MS",BUDE,MS,FRANKLIN
38833,"BURNSVILLE, MS",BURNSVILLE,MS,TISHOMINGO
38611,"BYHALIA, MS",BYHALIA,MS,MARSHALL
39272,"BYRAM, MS",BYRAM,MS,HINDS
39740,"CALEDONIA, MS",CALEDONIA,MS,LOWNDES
38916,"CALHOUN CITY, MS",CALHOUN CITY,MS,CALHOUN
39045,"CAMDEN, MS",CAMDEN,MS,MADISON
39046,"CANTON, MS",CANTON,MS,MADISON
39426,"CARRIERE, MS",CARRIERE,MS,PEARL RIVER
38917,"CARROLLTON, MS",CARROLLTON,MS,CARROLL
39427,"CARSON, MS",CARSON,MS,JEFFERSON DAVIS
39051,"CARTHAGE, MS",CARTHAGE,MS,LEAKE
39054,"CARY, MS",CARY,MS,SHARKEY
38920,"CASCILLA, MS",CASCILLA,MS,TALLAHATCHIE
39741,"CEDARBLUFF, MS",CEDARBLUFF,MS,CLAY
39631,"CENTREVILLE, MS",CENTREVILLE,MS,WILKINSON
38921,"CHARLESTON, MS",CHARLESTON,MS,TALLAHATCHIE
39632,"CHATAWA, MS",CHATAWA,MS,PIKE
38731,"CHATHAM, MS",CHATHAM,MS,WASHINGTON
39323,"CHUNKY, MS",CHUNKY,MS,NEWTON
39324,"CLARA, MS",CLARA,MS,WAYNE
38614,"CLARKSDALE, MS",CLARKSDALE,MS,COAHOMA
38732,"CLEVELAND, MS",CLEVELAND,MS,BOLIVAR
38733,"CLEVELAND, MS",CLEVELAND,MS,BOLIVAR
